route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SIM35,CA_D5-Weekday,CA_D5-Weekday-034500_SIM35_115,DOWNTOWN FRANKFORT ST via WATER ST,0,38311330,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-036000_SIM35_116,DOWNTOWN FRANKFORT ST via WATER ST,0,38311331,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-038800_MISC_294,DOWNTOWN FRANKFORT ST via WATER ST,0,38311332,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-040000_SIM35_117,DOWNTOWN FRANKFORT ST via WATER ST,0,38311333,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-041200_MISC_316,DOWNTOWN FRANKFORT ST via WATER ST,0,38311334,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-042400_MISC_325,DOWNTOWN FRANKFORT ST via WATER ST,0,38311335,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-047200_SIM35_115,DOWNTOWN FRANKFORT ST via WATER ST,0,38311330,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-048400_SIM35_116,DOWNTOWN FRANKFORT ST via WATER ST,0,38311331,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-052300_MISC_294,DOWNTOWN FRANKFORT ST via WATER ST,0,38311332,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-054000_SIM35_117,DOWNTOWN FRANKFORT ST via WATER ST,0,38311333,SIM350160
SIM35,CA_D5-Weekday,CA_D5-Weekday-092000_SIM35_116,PORT RICHMOND via CLOVE RD,1,38311336,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-095500_MISC_329,PORT RICHMOND via CLOVE RD,1,38311337,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-100500_MISC_288,PORT RICHMOND via CLOVE RD,1,38311327,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-104000_SIM35_115,PORT RICHMOND via CLOVE RD,1,38311338,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-105500_SIM35_116,PORT RICHMOND via CLOVE RD,1,38311336,SIM350171
SIM35,CA_D5-Weekday,CA_D5-Weekday-108500_MISC_329,PORT RICHMOND via CLOVE RD,1,38311337,SIM350171
S46,CA_D5-Weekday,CA_D5-Weekday-006000_S4696_45,WEST SHORE PLZ via CASTLETON,1,38311386,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-012000_S4696_46,WEST SHORE PLZ via CASTLETON,1,38311406,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-018000_MISC_221,WEST SHORE PLZ via CASTLETON,1,38311407,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-024000_S4696_47,WEST SHORE PLZ via CASTLETON,1,38311430,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-030000_S4696_48,WEST SHORE PLZ via CASTLETON,1,38311406,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-033000_S4696_47,WEST SHORE PLZ via CASTLETON,1,38311430,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-036000_S4696_45,WEST SHORE PLZ via CASTLETON,1,38311428,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-039000_MISC_230,WEST SHORE PLZ via CASTLETON,1,38311407,S460362
S46,CA_D5-Weekday,CA_D5-Weekday-048500_MISC_332,WEST SHORE PLZ via CASTLETON,1,38311406,S460362
S46,CA_D5-Weekday,CA_D5-Weekday-043500_MISC_291,TELEPORT via CASTLETON,1,38311417,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-042000_S4696_46,WEST SHORE PLZ via CASTLETON,1,38311390,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-044500_S4696_55,WEST SHORE PLZ via CASTLETON,1,38311430,S460362
S46,CA_D5-Weekday,CA_D5-Weekday-045500_S4696_53,TELEPORT via CASTLETON,1,38311413,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-046500_S4696_49,WEST SHORE PLZ via CASTLETON,1,38311391,S460362
S46,CA_D5-Weekday,CA_D5-Weekday-047500_MISC_232,WEST SHORE PLZ via CASTLETON,1,38311418,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-049500_MISC_319,TELEPORT via CASTLETON,1,38311422,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-051000_MISC_328,WEST SHORE PLZ via CASTLETON,1,38311408,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-052500_S4696_56,TELEPORT via CASTLETON,1,38311420,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-054000_S4696_47,WEST SHORE PLZ via CASTLETON,1,38311397,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-055500_MISC_335,TELEPORT via CASTLETON,1,38311412,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-056500_MISC_291,WEST SHORE PLZ via CASTLETON,1,38311417,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-058500_S4696_48,WEST SHORE PLZ via CASTLETON,1,38311421,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-059700_MISC_254,TELEPORT via CASTLETON,1,38311418,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-062100_MISC_332,TELEPORT via CASTLETON,1,38311406,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-063300_S4696_52,WEST SHORE PLZ via CASTLETON,1,38311393,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-064500_MISC_328,TELEPORT via CASTLETON,1,38311408,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-065700_S4696_56,WEST SHORE PLZ via CASTLETON,1,38311420,S460357
S46,CA_D5-Weekday,CA_D5-Weekday-066900_S4696_47,TELEPORT via CASTLETON,1,38311397,S460363
S46,CA_D5-Weekday,CA_D5-Weekday-069300_S4696_49,TELEPORT via CASTLETON,1,38311417,S460363
